Year,Category,Nominee,Additional Info,Won?
2008 (81st),Actor -- Leading Role,Richard Jenkins,The Visitor {'Walter'},NO
2008 (81st),Actor -- Leading Role,Frank Langella,Frost/Nixon {'Richard Nixon'},NO
2008 (81st),Actor -- Leading Role,Sean Penn,Milk {'Harvey Milk'},YES
2008 (81st),Actor -- Leading Role,Brad Pitt,The Curious Case of Benjamin Button {'Benjamin Button'},NO
2008 (81st),Actor -- Leading Role,Mickey Rourke,The Wrestler {'Randy'},NO
2008 (81st),Actor -- Supporting Role,Josh Brolin,Milk {'Dan White'},NO
2008 (81st),Actor -- Supporting Role,Robert Downey Jr.,Tropic Thunder {'Kirk Lazarus'},NO
2008 (81st),Actor -- Supporting Role,Philip Seymour Hoffman,Doubt {'Father Brendan Flynn'},NO
2008 (81st),Actor -- Supporting Role,Heath Ledger,The Dark Knight {'Joker'},YES
2008 (81st),Actor -- Supporting Role,Michael Shannon,Revolutionary Road {'John Givings'},NO
2008 (81st),Actress -- Leading Role,Anne Hathaway,Rachel Getting Married {'Kym'},NO
2008 (81st),Actress -- Leading Role,Angelina Jolie,Changeling {'Christine Collins'},NO
2008 (81st),Actress -- Leading Role,Melissa Leo,Frozen River {'Ray Eddy'},NO
2008 (81st),Actress -- Leading Role,Meryl Streep,Doubt {'Sister Aloysius Beauvier'},NO
2008 (81st),Actress -- Leading Role,Kate Winslet,The Reader {'Hanna Schmitz'},YES
2008 (81st),Actress -- Supporting Role,Amy Adams,Doubt {'Sister James'},NO
2008 (81st),Actress -- Supporting Role,Pen_lope Cruz,Vicky Cristina Barcelona {'Maria Elena'},YES
2008 (81st),Actress -- Supporting Role,Viola Davis,Doubt {'Mrs. Miller'},NO
2008 (81st),Actress -- Supporting Role,Taraji P. Henson,The Curious Case of Benjamin Button {'Queenie'},NO
2008 (81st),Actress -- Supporting Role,Marisa Tomei,The Wrestler {'Cassidy'},NO
2008 (81st),Animated Feature Film,Bolt,Chris Williams and Byron Howard,NO
2008 (81st),Animated Feature Film,Kung Fu Panda,John Stevenson and Mark Osborne,NO
2008 (81st),Animated Feature Film,WALL-E,Andrew Stanton,YES
2008 (81st),Art Direction,Changeling,Art Direction: James J. Murakami; Set Decoration: Gary Fettis,NO
2008 (81st),Art Direction,The Curious Case of Benjamin Button,Art Direction: Donald Graham Burt; Set Decoration: Victor J. Zolfo,YES
2008 (81st),Art Direction,The Dark Knight,Art Direction: Nathan Crowley; Set Decoration: Peter Lando,NO
2008 (81st),Art Direction,The Duchess,Art Direction: Michael Carlin; Set Decoration: Rebecca Alleway,NO
2008 (81st),Art Direction,Revolutionary Road,Art Direction: Kristi Zea; Set Decoration: Debra Schutt,NO
2008 (81st),Cinematography,Changeling,Tom Stern,NO
2008 (81st),Cinematography,The Curious Case of Benjamin Button,Claudio Miranda,NO
2008 (81st),Cinematography,The Dark Knight,Wally Pfister,NO
2008 (81st),Cinematography,The Reader,Chris Menges and Roger Deakins,NO
2008 (81st),Cinematography,Slumdog Millionaire,Anthony Dod Mantle,YES
2008 (81st),Costume Design,Australia,Catherine Martin,NO
2008 (81st),Costume Design,The Curious Case of Benjamin Button,Jacqueline West,NO
2008 (81st),Costume Design,The Duchess,Michael O'Connor,YES
2008 (81st),Costume Design,Milk,Danny Glicker,NO
2008 (81st),Costume Design,Revolutionary Road,Albert Wolsky,NO
2008 (81st),Directing,The Curious Case of Benjamin Button,David Fincher,NO
2008 (81st),Directing,Frost/Nixon,Ron Howard,NO
2008 (81st),Directing,Milk,Gus Van Sant,NO
2008 (81st),Directing,The Reader,Stephen Daldry,NO
2008 (81st),Directing,Slumdog Millionaire,Danny Boyle,YES
2008 (81st),Documentary (Feature),The Betrayal (Nerakhoon),Ellen Kuras and Thavisouk Phrasavath,NO
2008 (81st),Documentary (Feature),Encounters at the End of the World,Werner Herzog and Henry Kaiser,NO
2008 (81st),Documentary (Feature),The Garden,Scott Hamilton Kennedy,NO
2008 (81st),Documentary (Feature),Man on Wire,James Marsh and Simon Chinn,YES
2008 (81st),Documentary (Feature),Trouble the Water,Tia Lessin and Carl Deal,NO
2008 (81st),Documentary (Short Subject),The Conscience of Nhem En,Steven Okazaki,NO
2008 (81st),Documentary (Short Subject),The Final Inch,Irene Taylor Brodsky and Tom Grant,NO
2008 (81st),Documentary (Short Subject),Smile Pinki,Megan Mylan,YES
2008 (81st),Documentary (Short Subject),The Witness - From the Balcony of Room 306,Adam Pertofsky and Margaret Hyde,NO
2008 (81st),Film Editing,The Curious Case of Benjamin Button,Kirk Baxter and Angus Wall,NO
2008 (81st),Film Editing,The Dark Knight,Lee Smith,NO
2008 (81st),Film Editing,Frost/Nixon,Mike Hill and Dan Hanley,NO
2008 (81st),Film Editing,Milk,Elliot Graham,NO
2008 (81st),Film Editing,Slumdog Millionaire,Chris Dickens,YES
2008 (81st),Foreign Language Film,The Baader Meinhof Complex,Germany,NO
2008 (81st),Foreign Language Film,The Class,France,NO
2008 (81st),Foreign Language Film,Departures,Japan,YES
2008 (81st),Foreign Language Film,Revanche,Austria,NO
2008 (81st),Foreign Language Film,Waltz with Bashir,Israel,NO
2008 (81st),Makeup,The Curious Case of Benjamin Button,Greg Cannom,YES
2008 (81st),Makeup,The Dark Knight,"John Caglione, Jr. and Conor O'Sullivan",NO
2008 (81st),Makeup,Hellboy II: The Golden Army,Mike Elizalde and Thom Floutz,NO
2008 (81st),Music (Scoring),The Curious Case of Benjamin Button,Alexandre Desplat,NO
2008 (81st),Music (Scoring),Defiance,James Newton Howard,NO
2008 (81st),Music (Scoring),Milk,Danny Elfman,NO
2008 (81st),Music (Scoring),Slumdog Millionaire,A.R. Rahman,YES
2008 (81st),Music (Scoring),WALL-E,Thomas Newman,NO
2008 (81st),Music (Song),WALL-E,Music by Peter Gabriel and Thomas Newman; Lyric by Peter Gabriel,NO
2008 (81st),Music (Song),Slumdog Millionaire,Music by A.R. Rahman; Lyric by Gulzar,YES
2008 (81st),Music (Song),Slumdog Millionaire,Music and Lyric by A.R. Rahman and Maya Arulpragasam,NO
2008 (81st),Best Picture,The Curious Case of Benjamin Button,"Kathleen Kennedy, Frank Marshall and Ceˆn Chaffin, Producers",NO
2008 (81st),Best Picture,Frost/Nixon,"Brian Grazer, Ron Howard and Eric Fellner, Producers",NO
2008 (81st),Best Picture,Milk,"Dan Jinks and Bruce Cohen, Producers",NO
2008 (81st),Best Picture,The Reader,"Anthony Minghella, Sydney Pollack, Donna Gigliotti and Redmond Morris, Producers",NO
2008 (81st),Best Picture,Slumdog Millionaire,"Christian Colson, Producer",YES
2008 (81st),Short Film (Animated),La Maison en Petits Cubes,Kunio Kato,YES
2008 (81st),Short Film (Animated),Lavatory - Lovestory,Konstantin Bronzit,NO
2008 (81st),Short Film (Animated),Oktapodi,Emud Mokhberi and Thierry Marchand,NO
2008 (81st),Short Film (Animated),Presto,Doug Sweetland,NO
2008 (81st),Short Film (Animated),This Way Up,Alan Smith and Adam Foulkes,NO
2008 (81st),Short Film (Live Action),Auf der Strecke (On the Line),Reto Caffi,NO
2008 (81st),Short Film (Live Action),Manon on the Asphalt,Elizabeth Marre and Olivier Pont,NO
2008 (81st),Short Film (Live Action),New Boy,Steph Green and Tamara Anghie,NO
2008 (81st),Short Film (Live Action),The Pig,Tivi Magnusson and Dorte HËgh,NO
2008 (81st),Short Film (Live Action),Spielzeugland (Toyland),Jochen Alexander Freydank,YES
2008 (81st),Sound,The Curious Case of Benjamin Button,"David Parker, Michael Semanick, Ren Klyce and Mark Weingarten",NO
2008 (81st),Sound,The Dark Knight,"Lora Hirschberg, Gary Rizzo and Ed Novick",NO
2008 (81st),Sound,Slumdog Millionaire,"Ian Tapp, Richard Pryke and Resul Pookutty",YES
2008 (81st),Sound,WALL-E,"Tom Myers, Michael Semanick and Ben Burtt",NO
2008 (81st),Sound,Wanted,"Chris Jenkins, Frank A. Monta_o and Petr Forejt",NO
2008 (81st),Sound Editing,The Dark Knight,Richard King,YES
2008 (81st),Sound Editing,Iron Man,Frank Eulner and Christopher Boyes,NO
2008 (81st),Sound Editing,Slumdog Millionaire,Glenn Freemantle and Tom Sayers,NO
2008 (81st),Sound Editing,WALL-E,Ben Burtt and Matthew Wood,NO
2008 (81st),Sound Editing,Wanted,Wylie Stateman,NO
2008 (81st),Visual Effects,The Curious Case of Benjamin Button,"Eric Barba, Steve Preeg, Burt Dalton and Craig Barron",YES
2008 (81st),Visual Effects,The Dark Knight,"Nick Davis, Chris Corbould, Tim Webber and Paul Franklin",NO
2008 (81st),Visual Effects,Iron Man,"John Nelson, Ben Snow, Dan Sudick and Shane Mahan",NO
2008 (81st),Writing,The Curious Case of Benjamin Button,Screenplay by Eric Roth; Screen story by Eric Roth and Robin Swicord,NO
2008 (81st),Writing,Doubt,Written by John Patrick Shanley,NO
2008 (81st),Writing,Frost/Nixon,Screenplay by Peter Morgan,NO
2008 (81st),Writing,The Reader,Screenplay by David Hare,NO
2008 (81st),Writing,Slumdog Millionaire,Screenplay by Simon Beaufoy,YES
2008 (81st),Writing,Frozen River,Written by Courtney Hunt,NO
2008 (81st),Writing,Happy-Go-Lucky,Written by Mike Leigh,NO
2008 (81st),Writing,In Bruges,Written by Martin McDonagh,NO
2008 (81st),Writing,Milk,Written by Dustin Lance Black,YES
2008 (81st),Writing,WALL-E,"Screenplay by Andrew Stanton, Jim Reardon; Original story by Andrew Stanton, Pete Docter",NO
2008 (81st),Jean Hersholt Humanitarian Award,Jerry Lewis,,YES
2008 (81st),Scientific and Technical (Scientific and Engineering Award),RWIN MELZNER ,,YES
2008 (81st),Scientific and Technical (Scientific and Engineering Award),JACQUES DELACOUX ,,YES
2008 (81st),Scientific and Technical (Scientific and Engineering Award),BRUNO COUMERT,,YES
2008 (81st),Scientific and Technical (Technical Achievement Award),STEVE HYL€N ,,YES
2008 (81st),Scientific and Technical (Gordon E. Sawyer Award),Ed Catmull,,YES
2008 (81st),Scientific and Technical (Bonner Medal),Mark Kimball ,,YES